ID,DATE,MANUFACTURER,S15,EQUIPMENT_FAILURE
100002,6/8/16,R,10.08,0
100002,6/9/16,R,9.6408,0
100002,6/10/16,R,9.984,0
100002,6/11/16,R,8.2368,0
100002,6/12/16,R,8.832,0
100002,6/13/16,R,7.968,0
100002,6/14/16,R,9.216,0
100002,6/15/16,R,9.504,0
100002,6/16/16,R,7.02,0
100002,6/17/16,R,8.5176,0
100002,6/18/16,R,8.1432,0
100002,6/19/16,R,10.6704,0
100002,6/20/16,R,10.5768,0
100002,6/21/16,R,7.5696,0
100002,6/22/16,R,10.1232,0
100002,6/23/16,R,10.2144,0
100002,6/24/16,R,8.2992,0
100002,6/25/16,R,7.4784,0
100002,6/26/16,R,10.7448,0
100002,6/27/16,R,8.664,0
100002,6/28/16,R,0,0
100002,6/29/16,R,10.3896,0
100002,6/30/16,R,7.5264,0
100002,7/1/16,R,9.9408,0
100002,7/2/16,R,7.9344,0
100002,7/3/16,R,8.3472,0
100002,7/4/16,R,6.888,0
100002,7/5/16,R,9.2112,0
100002,7/6/16,R,6.9264,0
100002,7/7/16,R,8.0256,0
100002,7/8/16,R,7.548,0
100002,7/9/16,R,8.3472,0
100002,7/10/16,R,10.5672,0
100002,7/11/16,R,8.0808,0
100002,7/12/16,R,8.1696,0
100002,7/13/16,R,7.548,0
100002,7/14/16,R,6.9264,0
100002,7/15/16,R,10.1232,0
100002,7/16/16,R,8.1696,0
100002,7/17/16,R,10.212,0
100002,7/18/16,R,7.1928,0
100002,7/19/16,R,9.768,0
100002,7/20/16,R,8.1696,0
100002,7/21/16,R,10.7448,0
100002,7/22/16,R,7.992,0
100002,7/23/16,R,8.9688,0
100002,7/24/16,R,10.9224,0
100002,7/25/16,R,8.7024,0
100002,7/26/16,R,10.3896,0
100002,7/27/16,R,8.1696,0
100002,7/28/16,R,7.0152,0
100002,7/29/16,R,11.0112,0
100002,7/30/16,R,8.5248,0
100002,7/31/16,R,8.9688,0
100002,8/1/16,R,9.5016,0
100002,8/2/16,R,10.3896,0
100002,8/3/16,R,9.9456,0
100002,8/4/16,R,9.5016,0
100002,8/5/16,R,10.9224,0
100002,8/6/16,R,6.66,0
100002,8/7/16,R,10.5672,0
100002,8/8/16,R,7.992,0
100002,8/9/16,R,8.7912,0
100002,8/10/16,R,8.3472,0
100002,8/11/16,R,9.8568,0
100002,8/12/16,R,8.1696,0
100002,8/13/16,R,9.2352,0
100002,8/14/16,R,0,0
100002,8/15/16,R,0,0
100002,8/16/16,R,6.66,0
100002,8/17/16,R,0,0
100002,8/18/16,R,8.4816,0
100002,8/19/16,R,7.6608,0
100002,8/20/16,R,8.6136,0
100002,8/21/16,R,8.8704,0
100002,8/22/16,R,8.3304,0
100002,8/23/16,R,7.9344,0
100002,8/24/16,R,8.1168,0
100002,8/25/16,R,8.0808,0
100002,8/26/16,R,8.2584,0
100002,8/27/16,R,8.0808,0
100002,8/28/16,R,7.98,0
100002,8/29/16,R,9.9456,0
100002,8/30/16,R,6.9264,0
100002,8/31/16,R,7.5696,0
100002,9/1/16,R,7.8624,0
100002,9/2/16,R,8.1696,0
100002,9/3/16,R,11.3088,0
100002,9/4/16,R,8.208,0
100002,9/5/16,R,9.0576,0
100002,9/6/16,R,7.8432,0
100002,9/7/16,R,10.3008,0
100002,9/8/16,R,8.7912,0
100002,9/9/16,R,7.104,0
100002,9/10/16,R,8.6136,0
100002,9/11/16,R,10.2144,0
100002,9/12/16,R,8.208,0
100002,9/13/16,R,10.944,0
100002,9/14/16,R,10.4784,0
100002,9/15/16,R,9.9408,0
100002,9/16/16,R,8.7024,0
100002,9/17/16,R,10.212,0
100002,9/18/16,R,8.6136,0
100002,9/19/16,R,9.6672,0
100002,9/20/16,R,7.0224,0
100002,9/21/16,R,11.3088,0
100002,9/22/16,R,8.9376,0
100002,9/23/16,R,10.4784,0
100002,9/24/16,R,7.6368,0
100002,9/25/16,R,9.9408,0
100002,9/26/16,R,8.4816,0
100002,9/27/16,R,9.4128,0
100002,9/28/16,R,9.3024,0
100002,9/29/16,R,7.1136,0
100002,9/30/16,R,11.3256,0
100002,10/1/16,R,10.9224,0
100002,10/2/16,R,10.4304,0
100002,10/3/16,R,9.0792,0
100002,10/4/16,R,7.752,0
100002,10/5/16,R,10.6704,0
100002,10/6/16,R,7.2048,0
100002,10/7/16,R,8.7552,0
100002,10/8/16,R,10.2144,0
100002,10/9/16,R,8.4816,0
100002,10/10/16,R,7.1928,0
100002,10/11/16,R,10.3056,0
100002,10/12/16,R,7.0224,0
100002,10/13/16,R,10.7616,0
100002,10/14/16,R,10.368,0
100002,10/15/16,R,8.7912,0
100002,10/16/16,R,8.2944,0
100002,10/17/16,R,7.9152,0
100002,10/18/16,R,9.408,0
100002,10/19/16,R,8.3232,0
100002,10/20/16,R,9.912,0
100002,10/21/16,R,6.2016,0
100002,10/22/16,R,8.4864,0
100002,10/23/16,R,8.148,0
100002,10/24/16,R,7.752,0
100002,10/25/16,R,7.6704,0
100002,10/26/16,R,6.636,0
100002,10/27/16,R,6.6096,0
100002,10/28/16,R,7.0992,0
100002,10/29/16,R,6.3648,0
100002,10/30/16,R,6.12,0
100002,10/31/16,R,9.6288,0
100002,11/1/16,R,7.9968,0
100002,11/2/16,R,6.2832,0
100002,11/3/16,R,7.752,0
100002,11/4/16,R,6.6912,0
100002,11/5/16,R,9.2448,0
100002,11/6/16,R,10.1952,0
100002,11/7/16,R,10.032,0
100002,11/8/16,R,10.9512,0
100002,11/9/16,R,10.3896,0
100002,11/10/16,R,8.352,0
100002,11/11/16,R,10.848,0
100002,11/12/16,R,10.944,0
100002,11/13/16,R,9.828,0
100002,11/14/16,R,9.2664,0
100002,11/15/16,R,10.4832,0
100002,11/16/16,R,11.7,0
100002,11/17/16,R,10.8576,0
100002,11/18/16,R,11.5128,0
100002,11/19/16,R,10.6704,0
100002,11/20/16,R,8.2992,0
100002,11/21/16,R,8.5728,0
100002,11/22/16,R,10.032,0
100002,11/23/16,R,7.7256,0
100002,11/24/16,R,8.5248,0
100002,11/25/16,R,9.2352,0
100002,11/26/16,R,9.324,0
100002,11/27/16,R,0,0
100002,11/28/16,R,0,0
100002,11/29/16,R,0,0
100002,11/30/16,R,0,0
100002,12/1/16,R,0,0
100006,12/2/14,S,24.24,0
100006,12/3/14,S,25.92,0
100006,12/4/14,S,26.88,0
100006,12/5/14,S,18.96,0
100006,12/6/14,S,19.68,0
100006,12/7/14,S,26.16,0
100006,12/8/14,S,20.64,0
100006,12/9/14,S,27.6,0
100006,12/10/14,S,22.32,0
100006,12/11/14,S,22.08,0
100006,12/12/14,S,23.52,0
100006,12/13/14,S,28.8,0
100006,12/14/14,S,29.04,0
100006,12/15/14,S,26.4,0
100006,12/16/14,S,19.2,0
100006,12/17/14,S,29.52,0
100006,12/18/14,S,10.7712,0
100006,12/19/14,S,12.96,0
100006,12/20/14,S,12.2976,0
100006,12/21/14,S,13.1328,0
100006,12/22/14,S,14.1696,0
100006,12/23/14,S,12.8592,0
100006,12/24/14,S,10.944,0
100006,12/25/14,S,11.6352,0
100006,12/26/14,S,11.2992,0
100006,12/27/14,S,7.8432,0
100006,12/28/14,S,10.464,0
100006,12/29/14,S,7.296,0
100006,12/30/14,S,10.8864,0
100006,12/31/14,S,10.1808,0
100006,1/1/15,S,12.1032,0
100006,1/2/15,S,8.9688,0
100006,1/3/15,S,8.2656,0
100006,1/4/15,S,10.4544,0
100006,1/5/15,S,8.4672,0
100006,1/6/15,S,7.8624,0
100006,1/7/15,S,9.7344,0
100006,1/8/15,S,8.8536,0
100006,1/9/15,S,6.264,0
100006,1/10/15,S,16.632,0
100006,1/11/15,S,17.856,0
100006,1/12/15,S,25.2216,0
100006,1/13/15,S,17.9256,0
100006,1/14/15,S,13.708,0
100006,1/15/15,S,17.6328,0
100006,1/16/15,S,25.8408,0
100006,1/17/15,S,25.272,0
100006,1/18/15,S,16.2624,0
100006,1/19/15,S,17.952,0
100006,1/20/15,S,20.5344,0
100006,1/21/15,S,26.496,0
100006,1/22/15,S,22.7424,0
100006,1/23/15,S,23.9232,0
100006,1/24/15,S,24.3504,0
100006,1/25/15,S,19.9584,0
100006,1/26/15,S,25.9776,0
100006,1/27/15,S,25.7664,0
100006,1/28/15,S,24.4992,0
100006,1/29/15,S,23.5872,0
100006,1/30/15,S,24.9216,0
100006,1/31/15,S,17.1072,0
100006,2/1/15,S,16.32,0
100006,2/2/15,S,22.644,0
100006,2/3/15,S,19.7568,0
100006,2/4/15,S,23.3856,0
